feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium	group	IgE	-2.80388712061327	0.315914246718263	218	218	5.21428114383605e-16	4.74499584089081e-13
Lactobacillus	group	IgE	-2.40755362886583	0.449927272727967	218	206	2.53746281151976e-07	7.69697052827659e-05
Marinobacter	group	nE	0.238470861155817	0.04369321989839	218	7	1.77451655616735e-07	7.69697052827659e-05
Prevotella	group	nE	2.18139285877093	0.461582880464471	218	161	4.22677619825747e-06	0.000961591585103574
Enterococcus	group	IgE	-1.54987182047853	0.350654032652787	218	215	1.6680394624218e-05	0.00303583182160767
Bifidobacterium	group	nE	-1.50228214673104	0.406593092098008	218	218	0.000280338915354791	0.0342803829419936
Bilophila	group	IgE	-0.817068979441243	0.223477274659323	218	37	0.00032597750823219	0.0342803829419936
Paenibacillus	group	nE	0.558580815681269	0.150765237007133	218	10	0.000295748993442765	0.0342803829419936
Pontibacillus	group	nE	0.707119785459976	0.193730801638021	218	31	0.000339036754371365	0.0342803829419936
Aeromonas	group	nE	-0.95239753933874	0.270049166993131	218	41	0.000516136195211077	0.046968393764208
Streptococcus	group	IgE	-1.28234970755956	0.371074280621529	218	205	0.000675863406601856	0.0559123363643354
Helicobacter	group	IgE	-0.756883506617728	0.220791509481179	218	65	0.000745705440032747	0.0565493292024833
Ellin6067	group	nE	-0.0832869521698815	0.0231000229183795	218	8	0.000835155123975046	0.0584608586782532
Dialister	group	nE	1.13059283197913	0.34041810114208	218	63	0.00106473593814882	0.069207835979673
Aliifodinibius	group	nE	0.762949626570431	0.238025684310391	218	37	0.00155549955571964	0.0884690372315544
Mitsuokella	group	nE	0.389118227467754	0.121055842415808	218	11	0.00150860660976939	0.0884690372315544
Zoogloea	group	IgE	-0.398479459181573	0.127280831652111	218	16	0.00204838150399076	0.109648656978329
Coprobacillus	group	IgE	0.390735803295733	0.127232554757601	218	13	0.00249786660814547	0.126281034078465
Colidextribacter	group	IgE	-0.701271446572117	0.233432656991905	218	36	0.00300151513805951	0.143756777664955
Aeromonas	group	IgE	-0.615569694960057	0.212167370941289	218	41	0.00410406192662156	0.186734817661281
Clostridium_sensu_stricto_1	group	IgE	1.09479499149189	0.382095653699735	218	218	0.00458420652583131	0.197779862193828
Eggerthella	group	IgE	-1.49852100775098	0.525386797180877	218	122	0.00478149117391672	0.197779862193828
Comamonas	group	IgE	-1.20298090494609	0.425407036053233	218	152	0.00513883540736351	0.197965955515773
Rahnella1	group	IgE	-1.22667816453843	0.434617530864769	218	123	0.00522108014547094	0.197965955515773
GCA.900066575	group	IgE	-0.359875372907989	0.128578461174872	218	20	0.00564805196324367	0.20558909146207
Phenylobacterium	group	IgE	-0.295207422927915	0.106246348384233	218	13	0.00600223164411643	0.210078107544075
Serratia	group	IgE	-0.858180401135759	0.313035537762121	218	217	0.00667770996326961	0.223534394883549
Pseudomonas	group	IgE	-0.710538724328495	0.260073052229809	218	218	0.00687798138103228	0.223534394883549
UBA1819	group	IgE	1.32012728692507	0.489835105234483	218	113	0.00767653874444151	0.233132206387045
Gemella	group	IgE	-0.537231438197641	0.200709505798451	218	55	0.00805183612420959	0.233132206387045
Odoribacter	group	nE	-0.731142187374739	0.273858714954572	218	58	0.00818237245766906	0.233132206387045
Corynebacterium	group	nE	-0.58596926295525	0.219562504285353	218	46	0.00819805560921478	0.233132206387045
